Title,Genre,Rating,Voting,Duration
Kraven the Hunter,Action,5.4,0,127
Gladiator II,Action,6.5,0,148
Sonic the Hedgehog 3,Action,6.9,0,110
Venom: The Last Dance,Action,6.0,0,110
Dune: Part Two,Action,8.5,0,166
Pushpa: The Rule - Part 2,Action,6.1,0,201
William Tell,Action,5.7,0,133
Elevation,Action,5.6,0,91
The Lord of the Rings: The War of the Rohirrim,Action,6.3,0,134
The Ministry of Ungentlemanly Warfare,Action,6.8,0,122
Furiosa: A Mad Max Saga,Action,7.5,0,148
Deadpool & Wolverine,Action,7.6,0,128
Borderlands,Action,4.7,0,101
Hellboy: The Crooked Man,Action,4.5,0,99
Twisters,Action,6.5,0,122
Civil War,Action,7.0,0,109
Old Guy,Action,5.1,0,94
The Count of Monte-Cristo,Action,7.6,0,178
The Beekeeper,Action,6.3,0,105
Carry-On,Action,6.5,0,119
Marco,Action,6.9,0,145
The Fall Guy,Action,6.8,0,126
Rebel Ridge,Action,6.8,0,131
Homestead,Action,5.4,0,112
The Crow,Action,4.7,0,111
Thelma,Action,7.0,0,98
Kingdom of the Planet of the Apes,Action,6.9,0,145
Road House,Action,6.2,0,121
Red One,Action,6.3,0,123
Transformers One,Action,7.6,0,104
Solo Leveling: ReAwakening,Action,8.8,0,121
Bad Boys: Ride or Die,Action,6.5,0,115
Love Lies Bleeding,Action,6.6,0,104
Damsel,Action,6.1,0,110
Land of Bad,Action,6.6,0,113
The Killer's Game,Action,5.8,0,104
Argylle,Action,5.6,0,139
Madame Web,Action,4.0,0,116
Godzilla x Kong: The New Empire,Action,6.1,0,115
Dirty Angels,Action,4.3,0,104
The Union,Action,5.4,0,107
Monkey Man,Action,6.8,0,121
Aftermath,Action,5.1,0,97
Azrael,Action,5.4,0,86
Freaky Tales,Action,6.5,0,106
Attack on Titan the Movie: The Last Attack,Action,9.2,0,145
Drive-Away Dolls,Action,5.4,0,84
Werewolves,Action,4.4,0,93
Uglies,Action,4.7,0,100
Kung Fu Panda 4,Action,6.3,0,94
Absolution,Action,5.2,0,112
Arcadian,Action,5.5,0,92
Blitz,Action,6.2,0,120
The Instigators,Action,6.2,0,101
Lift,Action,5.5,0,107
Beverly Hills Cop: Axel F,Action,6.4,0,118
The Killer,Action,5.7,0,126
Hitpig,Action,5.1,0,86
Apocalypse Z: The Beginning of the End,Action,6.1,0,117
The Silent Hour,Action,6.1,0,99
Maharaja,Action,8.4,0,141
Classified,Action,3.6,0,105
Kalki 2898 AD,Action,7.0,0,180
Descendants: The Rise of Red,Action,4.7,0,91
Brothers,Action,5.4,0,89
Atlas,Action,5.6,0,118
Canary Black,Action,5.4,0,101
Baby John,Action,5.4,0,159
Survive,Action,4.6,0,90
Long Gone Heroes,Action,5.2,0,101
Weekend in Taipei,Action,5.7,0,100
Watchmen: Chapter I,Action,7.0,0,83
Rebel Moon - Part Two: The Scargiver,Action,5.3,0,122
Gunner,Action,3.2,0,106
Hagen,Action,6.1,0,139
Jackpot!,Action,5.8,0,106
Cash Out,Action,4.8,0,92
Under Paris,Action,5.2,0,104
Levels,Action,5.0,0,93
Dominique,Action,5.2,0,100
The Shadow Strays,Action,6.5,0,144
Armor,Action,3.5,0,89
Trigger Warning,Action,4.6,0,106
Agents,Action,3.6,0,82
Twilight of the Warriors: Walled In,Action,7.0,0,126
Aavesham,Action,7.8,0,155
Hounds of War,Action,4.5,0,95
Boneyard,Action,4.1,0,96
Jacob Tyler,Action,4.7,0,133
Chief of Station,Action,4.7,0,97
Take Cover,Action,5.1,0,90
No Way Up,Action,4.6,0,90
Agent Recon,Action,2.4,0,85
Red Right Hand,Action,5.5,0,111
11 Rebels,Action,6.2,0,155
Watchmen: Chapter II,Action,7.0,0,90
Megamind vs. The Doom Syndicate,Action,2.5,0,83
Sunray: Fallen Soldier,Action,4.3,0,115
Night Call,Action,6.8,0,97
Singham Again,Action,4.8,0,144
Damaged,Action,4.7,0,97
Amaran,Action,8.2,0,167
Role Play,Action,5.5,0,100
Vanvaas,Action,6.7,0,160
Trouble,Action,6.2,0,98
Echo 8,Action,3.9,0,96
Rifle Club,Action,7.0,0,113
Dark Match,Action,5.5,0,94
"I, the Executioner",Action,6.3,0,118
Prey,Action,3.7,0,86
Code 8: Part II,Action,5.7,0,100
My Hero Academia: You're Next,Action,7.0,0,110
Justice League: Crisis on Infinite Earths - Part One,Action,6.2,0,93
City Hunter,Action,6.3,0,102
Uprising,Action,6.6,0,126
River of Blood,Action,5.4,0,86
My Spy: The Eternal City,Action,5.7,0,112
Duchess,Action,4.6,0,114
Harbin,Action,6.5,0,108
Max,Action,7.1,0,132
Badland Hunters,Action,5.9,0,107
The Courier,Action,6.0,0,101
Justice League: Crisis on Infinite Earths - Part Three,Action,6.1,0,94
The Tiger's Apprentice,Action,5.7,0,84
Sikandar Ka Muqaddar,Action,6.0,0,142
Drive Back,Action,4.7,0,94
The Lost Tiger,Action,7.8,0,90
The Price of Money: A Largo Winch Adventure,Action,5.0,0,100
The Fix,Action,4.6,0,98
Joe Baby,Action,7.9,0,86
The Roundup: Punishment,Action,6.6,0,109
One More Shot,Action,5.4,0,103
Arena Wars,Action,4.9,0,96
Mafia Wars,Action,3.4,0,94
Raayan,Action,6.5,0,145
Elyas,Action,6.1,0,105
Fighter,Action,6.2,0,166
Striking Rescue,Action,5.6,0,106
Lights Out,Action,4.9,0,90
Article 370,Action,7.8,0,158
Devara Part 1,Action,6.0,0,176
200% Wolf,Action,6.0,0,98
Officer Black Belt,Action,6.8,0,108
Simarik,Action,6.4,0,111
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,7.1,0,104
Air Force One Down,Action,4.4,0,84
The Wages of Fear,Action,4.6,0,104
The Prosecutor,Action,6.8,0,117
Kill Em All 2,Action,4.1,0,88
The Quiet Ones,Action,6.5,0,110
Khadaan,Action,7.4,0,137
Darkness of Man,Action,4.8,0,109
Operation Blood Hunt,Action,3.4,0,93
Rats!,Action,7.9,0,85
Ultraman: Rising,Action,6.9,0,117
Jigra,Action,6.0,0,153
One Fast Move,Action,5.0,0,108
Angels Fallen: Warriors of Peace,Action,4.9,0,103
The Last Kumite,Action,4.6,0,105
Murder Company,Action,3.7,0,86
Panda Plan,Action,5.1,0,99
Karma,Action,8.1,0,167
Bougainvillea,Action,6.4,0,138
Golden Kamuy,Action,6.3,0,127
Cloud,Action,6.3,0,123
Pani,Action,6.9,0,143
Utopia,Action,3.6,0,91
Latency,Action,4.2,0,94
